fm_id,type,Title,alternative_title,language,y1,y2,d1,d2,m1,m2,format,place_id_fk1,place_id_fk2,link,ext_notes,import
1640,printed,"Paratitla Iuris Canonici, Sive Decretalium Greg. Papae IX. Summaria Ac Methodica Explicatio",Opus omnibus tam in schola quam in foro versantibus utilissimum/Editio nova a mendis purgata,Latin,1661,1661,0,0,0,0,4o,737,0,http://www.odis.be/lnk/en/PB_45998,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1641,printed,"Paratitla Iuris Canonici, Sive Decretalium Gregorii Papae IX. Summaria Ac Methodica Explicatio",Opus omnibus tam in schola quam in foro versantibus utilissimum/Editio nova a mendis purgata,Latin,1670,1670,0,0,0,0,4o,737,0,http://www.odis.be/lnk/en/PB_45999,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1642,printed,"Paratitla Iuris Canonici, Sive Decretalium D. Gregorii. Papae IX. Summaria Ac Methodica Explicatio","Editio Novissima cum triplici Indice/Opus novum, Scholae ac Foro, & Decretis Concilii Tridentini accommodatum",Latin,1686,1686,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_46000,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1643,printed,"Paratitla Iuris Canonici, Sive Decretalium D. Gregorii. Papae IX. Summaria Ac Methodica Explicatio","Opus novum, Scholae ac Foro, & Decretis Concilii Tridentini accommodatum/Editio Novissima verbo initiali ad quamlibet citationem aucta & ab innumeris mendis expurgata. Cum triplice Indice",Latin,1700,1700,0,0,0,0,4o,737,0,http://www.odis.be/lnk/en/PB_46001,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1644,printed,Praelectiones in codicem Justinianeum,0,Latin,1642,1642,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_46003,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1645,printed,"Nomenclatura legum, quibus praecipua juris civilis capita continentur, ad Adrianum filium: ordo studii juris civilis",0,Latin,1551,1551,0,0,0,0,8o,2,0,http://www.odis.be/lnk/en/PB_46014,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1646,printed,"Nomenclatura Legum; quibus praecipua Iuris Civilis capita continentur, ad Adrianum filium. Ordo studii iuris",0,Latin,1576,1576,0,0,0,0,0,2,0,http://www.odis.be/lnk/en/PB_46015,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1647,printed,De iure pacis commentarius,0,Latin,1620,1620,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_46031,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1648,printed,De iure feudorum commentarius,0,Latin,1624,1624,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_46032,<p>Feudal Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1649,printed,Casus breves super totum corpus legum vel iuris civilis,"ex lecturis Bartoli de Saxoferrato, Baldi de Ubaldis et Jacobi de Bellovisu (Digesta)",Latin,1478,1478,0,0,0,0,2o,116,0,http://www.odis.be/lnk/en/PB_46033,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1650,printed,Casus breves super totum corpus legum vel iuris civilis,"ex lecturis Bartoli de Saxoferrato, Baldi de Ubaldis et Jacobi de Bellovisu (Digesta)",Latin,1480,1480,0,0,0,0,2o,1297,0,http://www.odis.be/lnk/en/PB_46034,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
